gene,gene_effect,z_score,mean,stddev
CCNDBP1,-0.216149893698,-1.0670836026434025,-0.018166502147352194,0.18553690738026438
LRP12,-0.214505144437,-1.0670388685926728,-0.0322503414964882,0.17080427743076437
LIPT1,0.0312857991693,-1.066821537984815,0.1750557576033585,0.13476476928431202
BLVRB,-0.0866657644682,-1.065971769613091,0.1841655496908949,0.2540698749061589
HSD17B12,-0.172233161869,-1.0656885241452496,-0.00522439543267055,0.15671442701354146
RTN4RL2,-0.446722325937,-1.065488350784796,-0.23722813539544488,0.19661800186482573
NKX3-1,-0.17242421594000001,-1.0651133130165449,0.0009374446958702778,0.16276358441609057
AREL1,-0.433224466375,-1.0640839931182107,-0.20752150042144268,0.21211010353811763
SLC2A10,-0.310230590303,-1.0628002204167974,-0.1299103329246535,0.1696652427373702
P4HA1,-0.12277331626900001,-1.062369781295392,0.07184839121106215,0.18319582400277964
C2,-0.18965471456799998,-1.0619205663853473,-0.05143163049727946,0.13016329888139908
OR7G2,-0.34120825539000005,-1.0603442925758229,-0.08023310699730478,0.24612302835970942
ATCAY,-0.178456763868,-1.06014819063497,0.00805526711335875,0.17593015073642526
SLC4A10,-0.238955863778,-1.060141024690604,-0.04779304501797665,0.1803182919138641
BCL7A,-0.261905902917,-1.0599289946043164,-0.06917491302083766,0.18183386894525985
COQ8A,-0.327908969409,-1.0591021544633736,-0.14662572656055578,0.17116690971164808
P2RY10,-0.112451909814,-1.0585322336885776,0.010802683341285695,0.11643914963816535
HNRNPA2B1,-0.530982243153,-1.0584811023663765,-0.28662973709903766,0.23085202514025008
GNA13,-0.0981643875362,-1.058434156366226,0.06995545747654423,0.15883826499886075
ZNF367,-0.247930022632,-1.0583218721380143,-0.06646203555220172,0.17146767146860334
ZNF350,-0.102717874685,-1.058141766684987,0.0557840288379766,0.14979269178603669
SEMA3G,-0.356554389009,-1.0577488332964198,-0.17112100557540005,0.17530946628955982
PLA2G12B,-0.160513034404,-1.0568751189956584,0.04842095586378493,0.1976903292664639
KRT15,-0.125663148894,-1.0557484362387748,0.04935570803349063,0.16577704585669614
GOSR2,-0.04312137305219999,-1.0553858625243702,0.07755924462865113,0.11434738891820664
BMPR1A,-0.28702084948,-1.054856763810392,-0.09250151119826862,0.1844035559662921
PCDHGA1,-0.204102104448,-1.054658724262691,0.007107441203678123,0.20026340349987065
PHOX2A,-0.21947545953000003,-1.053899225974442,-0.04030244684081218,0.1700096254682447
S100A5,-0.215555904241,-1.0537793926640528,-0.04079166794716323,0.16584518307196766
MARCHF2,-0.0674151554521,-1.0525430144624357,0.09091518286879878,0.15042647772619788
AKAP12,-0.200711664628,-1.0516107230535587,-0.04062773768681371,0.15222736268450276
DNTTIP1,-0.297456716444,-1.0513509812189632,-0.07688182902572886,0.2098013806602729
GNB1,-0.233175374799,-1.0510648065540968,-0.04254259633360306,0.18137109841055776
NCR1,-0.234825514534,-1.0510079561625993,0.0009251194606017317,0.2243090859705435
GPR55,-0.23789514548500001,-1.050976477601108,-0.09250725456631442,0.13833600848093075
ZNF540,-0.278564052612,-1.0492506865414981,-0.051638171686996755,0.21627422677509803
FOXO4,-0.23311516568000004,-1.0487974803621727,-0.04549869887103194,0.17888722114795702
MAFG,-0.148228173543,-1.0483281366858563,0.013082506676278121,0.15387422561149547
TXNL1,-0.104739765012,-1.0473288172337614,0.0757706687374604,0.17235316242536933
KIR2DS5,0.0450338048307,-1.0471007890052477,0.21532591308980223,0.16263201216845688
MAP2K7,-0.294820240285,-1.0470541268518991,-0.1299555030149304,0.15745579243907507
HNRNPA1L2,-0.0360901558587,-1.0467805628140368,0.14164631460180402,0.16979343787460002
GAS6,-0.13460752418,-1.046000003374432,0.024111495957006842,0.15173902449806292
RNF135,-0.407345808732,-1.0455282015973044,-0.22530275599791033,0.17411587029022613
SH2D1A,-0.249643477354,-1.0455028167533549,-0.09367292596143839,0.14918233494282082
PAPOLB,-0.222957672267,-1.0454980753387146,-0.04299471672559302,0.17213131213379193
H2AC8,-0.0903753819771,-1.0442305483290215,0.0660004227628259,0.1497521835481241
PRDM12,-0.389118266821,-1.0432882009126745,-0.2198816286322355,0.162214657503761
HSBP1,-0.222827808252,-1.0423524811409284,-0.04903076584450314,0.1667353851523083
CAMK2G,-0.270083786411,-1.0421904553831625,-0.08979352662460008,0.17299166275718386
HS3ST3B1,-0.20076060819000002,-1.0396277296995826,-0.03743076263250785,0.15710416420374723
GABRB1,-0.181393561693,-1.0395724216426805,-0.009269203616508332,0.16557226268518105
ZNF175,-0.163427073812,-1.0391860719456936,0.00043326017836271276,0.1576814185774863
PAF1,-1.0171168451100001,-1.0381920970587197,-0.740968986264967,0.2659891744768447
TXNDC5,-0.21968601472399998,-1.0373394384575088,-0.03038567033663991,0.18248640451658113
TUBB3,-0.214803663301,-1.0371996034233253,-0.03662319392911456,0.17178995131100375
IGFBP1,-0.248411444487,-1.0366208587592844,-0.05900032119683753,0.18271976845697058
POLN,-0.16162870842399998,-1.035914582111995,0.014404977111789924,0.1699306956147843
UMPS,-0.0814301908745,-1.035696160105728,0.084103371217592,0.1598283053161013
MAP3K15,-0.0835895724292,-1.0347088649800722,0.03879118225465687,0.11827554476999078
ARFGAP3,-0.213352652216,-1.0333070672212825,-0.039685148745417696,0.16806959806981697
FGF9,-0.110825177885,-1.03322702786624,0.031121879114797454,0.13738225304939825
JAZF1,-0.251419284848,-1.0320964589317645,-0.06491281071410276,0.1807064373875813
INCENP,-0.92047597831,-1.0319778675222582,-0.6556025564877168,0.256665796969304
ZNF85,-0.175203974353,-1.0316470248098701,-0.04549442469039738,0.12573055177133646
OXTR,-0.309378339736,-1.030635960344538,-0.11644447611010077,0.18719884716753146
BCKDHA,-0.17798392012400002,-1.0301630707153822,-0.02639522251426382,0.14715019584663191
TLL1,-0.0455840384298,-1.029468775155422,0.09151828935928245,0.13317774282992093
HLA-C,-0.17292942223700003,-1.0292654781725081,-0.022287813560708178,0.14635836124977256
MEF2A,-0.204655656284,-1.0292402651691435,-0.007249793634648168,0.1917976485470188
CHRM4,-0.24934096057500002,-1.029034470341034,-0.10482758116536085,0.14043589750860896
SLC39A9,-0.202303016405,-1.028846399104729,-0.024804818061979584,0.17252157221668266
CST8,-0.170123364537,-1.0287901640933146,0.03260644634401905,0.1970565212972145
ATXN7,-0.35229578260300004,-1.028786017977002,-0.17058448890093839,0.17662690834327
CHI3L1,-0.294739923394,-1.0283174919499871,-0.07128468081685321,0.21730180058827075
FARSA,-0.28017475657499996,-1.0273553359243852,-0.0786420649570339,0.19616649134997935
TAF3,-0.43078430713699994,-1.027175964875152,-0.22455731279917562,0.20077085269697698
MACROH2A2,-0.08920229537249999,-1.0270718898621458,0.09582592735274868,0.18015118956286813
COL13A1,-0.137485384569,-1.0258926106374906,0.03281204643811066,0.16599927637775624
SRSF4,-0.185508039727,-1.0256294622439293,-0.050257342795625375,0.1318709162619662
CHRNA5,-0.31999247435899997,-1.0250766710566077,-0.15546941499363484,0.1604982963818515
BRF1,-0.340464460566,-1.0247508523777664,-0.17561824142016055,0.16086468116941868
MOCS3,-0.0755916763089,-1.0247274526633026,0.08815369921036575,0.15979407509156293
KRT1,-0.30927016581,-1.0245410135948114,-0.10789224580343851,0.19655427877892942
UIMC1,-0.161696496196,-1.024346411728229,-0.011924394597093135,0.14621235539471303
KCND3,-0.228055903628,-1.0241438637083693,-0.08793943583574115,0.13681326692219267
SPTB,-0.15410205553,-1.0234635845721225,-0.019464191423585117,0.13155120136756274
RFPL1,-0.145182815352,-1.0234571649778,-0.019970815688292922,0.12234219852906408
NME1,-0.28436030448399996,-1.0230733821720086,-0.09652829703527216,0.18359583068220978
DBI,-0.192316684989,-1.0229572568943566,0.021441748061411383,0.2089612558195936
HYAL3,-0.08430743474880001,-1.0227518714916675,0.09253618558784812,0.17290960326352128
TRIM35,-0.316370057421,-1.022308764875737,-0.0689369775747887,0.24203360897163698
PDK3,-0.198034392354,-1.0222771056903621,-0.06844309545139829,0.12676728861602196
S1PR3,-0.121123417304,-1.020802708866998,0.029544019553938573,0.147597019041188
LINC00467,0.010894756097500001,-1.0206515089434212,0.1551800732903546,0.14136589808427247
CATSPER3,-0.09092013497410001,-1.0204659093798758,0.05054707169181505,0.1386300172946325
EDARADD,-0.404940181267,-1.0203663678290549,-0.19715766312458302,0.20363520858149983
PRPH2,-0.239843790874,-1.0203186646401357,-0.08001520553068106,0.15664575282437881
B3GALT6,-0.22826199436099998,-1.0195137640632586,-0.05043645480714533,0.17442191152489528
ZBTB40,-0.220149311243,-1.0191001638496064,-0.06361448731136093,0.15360101929562603
SURF1,-0.06663479574680001,-1.0190128483527352,0.07930908666358547,0.1432208461809958
ANOS1,-0.106571407423,-1.0184872714347877,0.036292643235138006,0.14027082582669803
AS3MT,-0.060514939107300006,-1.0181082671519008,0.12358791979251826,0.1808283704589055
PPBP,-0.167673007721,-1.017306988835224,-0.01748198719501379,0.1476358878630618
PPT1,-0.09625973865080001,-1.017016434587144,0.08916281558057627,0.18232011590515568
UBQLN4,-0.29501351316,-1.016952003803834,-0.14000316253145523,0.15242641742062554
BARD1,-0.301531606411,-1.0166283624724157,-0.10230878631785918,0.1959642554223411
EIF2AK1,-0.17057732338,-1.016572959724831,-0.0037500434446781803,0.16410753241014706
JPT2,-0.409751711118,-1.0165243986850112,-0.09673711801757123,0.3079262962161542
CALM1,-0.303813317535,-1.0157580086355227,-0.13083653293530895,0.17029330128743206
MAD1L1,-0.146589988979,-1.0157408718348244,0.0006104632001463783,0.14491929611264426
TREML2,-0.147550075294,-1.0153688627033233,0.018113110371423626,0.1631556685955103
EXD2,0.025129087050799997,-1.0142120520199076,0.1550231419486343,0.1280738625015715
