"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"2","2","WikiPathways","","Butyrate-induced histone acetylation","0.0093","AKT1|ACLY","128","301|394","5.98E-5","","WP2366","0.2994060867503445","0"
"4981","32","GO Biological Process","","Organonitrogen compound metabolic process","0.0095","HDAC7|NAMPT|PRSS16|MMP8|CDADC1|PSMB7|CAD|HPX|PSMB4|TLR3|EZH2|METAP2|KARS1|TMLHE|CYP1A2|WARS1|NTRK3|PNP|IRAK1|UCK1|EIF2S2|PLA2G2D|PITRM1|CDKL4|CYP1A1|KDM4E|ADK|AKT1|ACLY|RAD51|HARS2|NR1H2","128","217|247|436|454|457|256|499|463|259|292|220|484|316|490|331|325|496|250|295|475|481|361|442|448|337|430|346|301|394|379|319|412","1.28E-5","","GO:1901564","0.2980441937403725","0"
"2404","20","GO Molecular Function","","Anion binding","0.0095","ABCB7|KIF11|CAD|KARS1|WARS1|NTRK3|PNP|PI4KB|IRAK1|UCK1|AKR1C3|RFC4|PRKAR1A|CDKL4|TOP2A|ADK|AKT1|ACLY|RAD51|HARS2","128","478|265|499|316|325|496|250|418|295|475|286|373|403|448|268|346|301|394|379|319","3.87E-5","","GO:0043168","0.2980441937403725","0"
"58","4","Reactome Pathways","","Arachidonic acid metabolism","0.0095","CYP1A2|ALOX5|AKR1C3|CYP1A1","128","331|358|286|337","4.55E-5","","HSA-2142753","0.2980441937403725","0"
"4787","31","COMPARTMENTS","","Nucleus","0.0096","HDAC7|NAMPT|PSMB7|SLC6A4|DCPS|THRA|CAD|SIGMAR1|AKR1B1|PSMB4|EZH2|PGR|KARS1|IRAK1|ALOX5|AKR1C3|SEC13|RFC4|CYP1A1|THRB|KDM4E|EBNA1BP2|TOP2A|ADK|SNW1|AKT1|ACLY|CPSF1|RAD51|MED19|NR1H2","128","217|247|256|445|487|274|499|493|283|259|220|307|316|295|358|286|427|373|337|277|430|460|268|346|439|301|394|433|379|415|412","1.68E-5","","GOCC:0005634","0.29737396189177867","0"
"3054","24","COMPARTMENTS","","Cytosol","0.0096","HDAC7|NAMPT|PSMB7|KIF11|DCPS|THRA|CAD|AKR1B1|PSMB4|METAP2|KARS1|WARS1|PNP|PI4KB|IRAK1|ALOX5|EIF2S2|IDI1|SEC13|PRKAR1A|CYP1A1|ADK|AKT1|ACLY","128","217|247|256|265|487|274|499|283|259|484|316|325|250|418|295|358|481|466|427|403|337|346|301|394","1.18E-5","","GOCC:0005829","0.29737396189177867","0"
"10113","49","COMPARTMENTS","","Organelle","0.0096","HDAC7|NAMPT|PRSS16|MMP8|ABCB7|PSMB7|KIF11|SLC6A4|DCPS|THRA|CAD|HPX|SIGMAR1|AKR1B1|PSMB4|TLR3|EZH2|PGR|KARS1|TMLHE|CYP1A2|PNP|HSD11B1|SOAT1|PI4KB|IRAK1|ALOX5|AKR1C3|PITRM1|IDI1|SEC13|RFC4|PRKAR1A|CYP1A1|CYP19A1|THRB|KDM4E|CHRM2|EBNA1BP2|TOP2A|ADK|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|MED19|NR1H2","128","217|247|436|454|478|256|265|445|487|274|499|463|493|283|259|292|220|307|316|490|331|250|352|472|418|295|358|286|442|466|427|373|403|337|310|277|430|421|460|268|346|439|301|394|433|379|319|415|412","1.46E-5","","GOCC:0043226","0.29737396189177867","0"
"9609","48","COMPARTMENTS","","Intracellular organelle","0.0096","HDAC7|NAMPT|PRSS16|MMP8|ABCB7|PSMB7|KIF11|SLC6A4|DCPS|THRA|CAD|HPX|SIGMAR1|AKR1B1|PSMB4|TLR3|EZH2|PGR|KARS1|TMLHE|CYP1A2|PNP|HSD11B1|SOAT1|PI4KB|IRAK1|ALOX5|AKR1C3|PITRM1|IDI1|SEC13|RFC4|CYP1A1|CYP19A1|THRB|KDM4E|CHRM2|EBNA1BP2|TOP2A|ADK|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|MED19|NR1H2","128","217|247|436|454|478|256|265|445|487|274|499|463|493|283|259|292|220|307|316|490|331|250|352|472|418|295|358|286|442|466|427|373|337|310|277|430|421|460|268|346|439|301|394|433|379|319|415|412","8.35E-6","","GOCC:0043229","0.29737396189177867","0"
"8162","43","COMPARTMENTS","","Intracellular membrane-bounded organelle","0.0096","HDAC7|NAMPT|PRSS16|ABCB7|PSMB7|SLC6A4|DCPS|THRA|CAD|SIGMAR1|AKR1B1|PSMB4|TLR3|EZH2|PGR|KARS1|TMLHE|CYP1A2|HSD11B1|SOAT1|PI4KB|IRAK1|ALOX5|AKR1C3|PITRM1|IDI1|SEC13|RFC4|CYP1A1|CYP19A1|THRB|KDM4E|EBNA1BP2|TOP2A|ADK|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|MED19|NR1H2","128","217|247|436|478|256|445|487|274|499|493|283|259|292|220|307|316|490|331|352|472|418|295|358|286|442|466|427|373|337|310|277|430|460|268|346|439|301|394|433|379|319|415|412","1.6E-5","","GOCC:0043231","0.29737396189177867","0"
"14060","59","COMPARTMENTS","","Cellular anatomical entity","0.0096","HDAC7|NID2|NAMPT|PRSS16|MMP8|PTGER2|OR7C2|ABCB7|PSMB7|KIF11|SLC6A4|DCPS|THRA|CAD|HPX|SIGMAR1|AKR1B1|PSMB4|TLR3|EZH2|PGR|METAP2|KARS1|TMLHE|CYP1A2|WARS1|NTRK3|PNP|HSD11B1|SOAT1|PI4KB|IRAK1|ALOX5|EIF2S2|PLA2G2D|AKR1C3|PITRM1|IDI1|SEC13|RFC4|PRKAR1A|CYP1A1|CYP19A1|THRB|KDM4E|CHRM2|EBNA1BP2|TOP2A|TAS2R50|ADK|ADGRD1|SNW1|AKT1|ACLY|CPSF1|RAD51|HARS2|MED19|NR1H2","128","217|409|247|436|454|469|406|478|256|265|445|487|274|499|463|493|283|259|292|220|307|484|316|490|331|325|496|250|352|472|418|295|358|481|361|286|442|466|427|373|403|337|310|277|430|421|460|268|424|346|451|439|301|394|433|379|319|415|412","1.11E-5","","GOCC:0110165","0.29737396189177867","0"
