"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"3","2","GO Molecular Function","","Nicotinate-nucleotide diphosphorylase (carboxylating) activity","0.0028","NAMPT|NAPRT","3389","3478|3754","3.39E-6","","GO:0004514","0.2552841968657781","0"
"52","3","GO Molecular Function","","Pentosyltransferase activity","0.0028","NAMPT|PNP|NAPRT","3389","3478|3481|3754","4.44E-6","","GO:0016763","0.2552841968657781","0"
"3","2","GO Molecular Function","","IMP 5-nucleotidase activity","0.0028","NT5C|NT5C2","3389","3730|3748","3.39E-6","","GO:0050483","0.2552841968657781","0"
"10","2","GO Biological Process","","Purine deoxyribonucleotide catabolic process","0.0046","NT5C|PNP","3389","3730|3481","2.23E-5","","GO:0009155","0.2337242168318426","0"
"10","2","GO Biological Process","","NAD biosynthesis via nicotinamide riboside salvage pathway","0.0046","NAMPT|NNMT","3389","3478|3766","2.23E-5","","GO:0034356","0.2337242168318426","0"
"2","2","Pfam","","5 nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)","0.0047","NT5C|NT5M","3389","3730|3742","2.04E-6","","PF06941","0.23279021420642826","0"
"2","2","InterPro Domains","","5(3)-deoxyribonucleotidase","0.0049","NT5C|NT5M","3389","3730|3742","2.04E-6","","IPR010708","0.23098039199714862","0"
"1820","7","UniProt Keywords","","Transferase","0.0051","NAMPT|BST1|PNP|NMRK1|NAPRT|NNMT|ADK","3389","3478|3760|3481|3772|3754|3766|3508","3.03E-5","","KW-0808","0.22924298239020638","0"
"11","2","GO Biological Process","","Adenosine metabolic process","0.0052","NT5C2|NT5C1B-RDH14","3389","3748|3736","2.64E-5","","GO:0046085","0.2283996656365201","0"
"2268","8","GO Molecular Function","","Transferase activity","0.0055","NAMPT|BST1|NT5C2|PNP|NMRK1|NAPRT|NNMT|ADK","3389","3478|3760|3748|3481|3772|3754|3766|3508","1.01E-5","","GO:0016740","0.22596373105057563","0"
"7","2","GO Molecular Function","","XMP 5-nucleosidase activity","0.006","NT5C2|NT5C3B","3389","3748|3787","1.22E-5","","GO:0106411","0.2221848749616356","0"
