"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"12","5","GO Molecular Function","","alditol:NADP+ 1-oxidoreductase activity","1.6E-4","AKR1D1|AKR1B1|AKR1C4|AKR1C3|AKR1C1","128","1076|283|1463|286|1472","2.0E-6","","GO:0004032","0.3795880017344075","0"
"12838","205","GO Molecular Function","","Binding","1.6E-4","HDAC7|SULT2B1|SIRT4|NID2|CDK5RAP1|STS|DHDH|PIK3R2|NAMPT|CYP3A5|SULT1E1|RAD51AP1|WARS2|NT5C1A|MMP8|GSTM2|AHR|AKR1D1|PLA2G12A|NT5C|CDADC1|ALOX12|ABCB7|GSTM5|TRIM45|NARS1|PHC2|MMP20|KIF11|MSMO1|SLC6A4|PIK3R3|ASPA|DESI1|DCPS|THRA|CAD|PI4K2B|PDE8B|HPX|NCOR1|SRD5A1|SIGMAR1|NARS2|PDE3B|MARS2|PLA2R1|PDE11A|FRRS1|TIMP4|PSMB4|CYP11B1|LTC4S|GRASP|ALOX15|HPGDS|TLR3|DEFA4|MELK|GNPTAB|PCLAF|CYP2A6|CGB5|CYP7A1|ENTPD3|UGT1A6|DCXR|UGT1A1|ANKK1|CYP2S1|ADAT1|CYP4A11|EZH2|AHRR|CYP2B6|PGR|METAP2|KARS1|CYP11B2|TPH2|SHC4|UPP1|CYP2A13|TMLHE|GSTA1|CYP3A7|PSMF1|TARS3|NT5C2|CIR1|CYP1A2|PTGES|NOXA1|UGT1A10|CPSF4L|C2orf88|SVIP|UGT1A9|WARS1|DHCR7|MMP23B|RXRG|NT5C1B|NTRK3|GSTM3|PNP|HSD11B1|SOAT1|MMP21|PI4KB|MTCP1|GSTM4|PCGF6|CYP17A1|SARS1|CUEDC2|IRAK1|GSTA4|CYP2C8|PARS2|ENTPD8|CYP4A22|UCK1|UGT1A4|UGT1A5|UGT1A7|UGT1A8|ZWINT|ALOX5|EIF2S2|PLA2G2D|NMRK1|PIK3CD|KIN|MMP26|AKR1C4|AKR1C3|AKR1C1|PITRM1|ASMT|IDI1|RAD1|SEC13|NT5M|ASPDH|GARS1|RFC4|TIRAP|PRKAR1A|PDE8A|CDKL4|CYP1A1|TYMP|CDKL1|CYP19A1|THRB|ADA2|NCOR2|CASTOR1|NCOA1|RNF212|NT5C3B|KDM4E|CHRM2|NCOA2|NAPRT|ENPP3|EBNA1BP2|LPAR4|CHTF8|TOP2A|UGT1A3|AHRR-2|NT5C1B-RDH14|PHC1|SH2B2|CYP2E1|ADK|SNW1|AKT1|NETO2|ACLY|SARS2-2|SARS2|MMP28|UPP2|NT5C3A|SRD5A2|CYP1B1|IGHV3-16|NMRK2|HMGN3|MGST2|CPSF1|EPOP|OR13G1|RAD51|PDE8B-2|HARS2|INPP5F|ENPP1|CYP26C1|CYP3A4|NR1H2|PIK3CB","128","217|1163|1232|409|400|1214|1457|1478|247|1088|1118|1853|1886|1547|454|1301|2096|1076|2216|1535|457|2291|478|1325|2471|1898|1397|2549|265|2414|445|1508|2636|2537|487|274|499|1496|2723|463|1007|1154|493|1913|2237|1943|3053|3068|2816|2024|259|1094|3128|3140|2300|1319|292|2030|1871|3266|2567|1346|3413|1226|3008|1022|3062|1016|2597|1283|3824|1694|220|3986|1295|307|484|316|1070|2603|4163|1982|1337|490|1364|1205|2531|1889|1559|4499|331|2228|4649|1058|4706|4748|4754|1742|325|1169|2822|2852|1529|496|1289|250|352|472|2810|418|5060|1277|1382|1148|1925|4085|295|1307|1724|1937|1952|1652|475|1028|1664|1760|1040|1862|358|481|361|1586|1520|5480|2831|1463|286|1472|442|4607|466|5570|427|1553|2639|1904|373|3233|403|2738|448|337|1973|5669|310|277|1958|1001|5597|2099|5840|2003|430|421|2105|1574|1235|460|5867|5645|268|1733|5675|1541|1388|4880|1178|346|439|301|4106|394|1919|1931|2837|1994|2009|1112|1100|3419|1568|5771|1313|433|3914|5933|379|5654|319|1481|1241|1631|1082|412|1514","2.01E-6","","GO:0005488","0.3795880017344075","0"
"6","4","WikiPathways","","Nicotine metabolism in liver cells","1.6E-4","CYP2A6|CYP2B6|UGT1A9|UGT1A4","128","1346|1295|1742|1028","5.64E-6","","WP1600","0.3795880017344075","0"
"29","6","WikiPathways","","Eicosanoid metabolism via lipooxygenases (LOX)","1.6E-4","ALOX12|LTC4S|ALOX15|CYP4A11|CYP4A22|ALOX5","128","2291|3128|2300|1694|1652|358","5.57E-6","","WP4721","0.3795880017344075","0"
"2168","55","GO Molecular Function","","Nucleotide binding","1.7E-4","SIRT4|DHDH|WARS2|NT5C1A|NT5C|ABCB7|NARS1|KIF11|CAD|PI4K2B|SRD5A1|NARS2|MARS2|PDE11A|MELK|ENTPD3|ANKK1|KARS1|TARS3|NT5C2|WARS1|DHCR7|NT5C1B|NTRK3|HSD11B1|SOAT1|PI4KB|SARS1|IRAK1|PARS2|ENTPD8|UCK1|NMRK1|PIK3CD|NT5M|ASPDH|GARS1|RFC4|PRKAR1A|CDKL4|CDKL1|NT5C3B|TOP2A|NT5C1B-RDH14|ADK|AKT1|ACLY|SARS2-2|SARS2|NT5C3A|NMRK2|RAD51|HARS2|ENPP1|PIK3CB","128","1232|1457|1886|1547|1535|478|1898|265|499|1496|1154|1913|1943|3068|1871|3008|2597|316|1889|1559|325|1169|1529|496|352|472|418|1925|295|1937|1952|475|1586|1520|1553|2639|1904|373|403|448|5669|2003|268|1541|346|301|394|1919|1931|2009|1568|379|319|1241|1514","2.21E-6","","GO:0000166","0.37695510786217257","0"
"55","8","STRING Clusters","","Mixed, incl. Pyridine-containing compound metabolic process, and NUDIX hydrolase domain","1.7E-4","SIRT4|NAMPT|DCPS|BST1|NMRK1|NAPRT|NNMT|NMRK2","128","1232|247|487|1256|1586|1574|1250|1568","1.6E-6","","CL:10905","0.37695510786217257","0"
"12","5","GO Biological Process","","Olefinic compound biosynthetic process","1.8E-4","CYP11B1|CYP11B2|AKR1C3|CYP19A1|SRD5A2","128","1094|1070|286|310|1112","2.0E-6","","GO:0120255","0.3744727494896694","0"
"286","16","GO Molecular Function","","Phosphatase activity","1.9E-4","NT5C1A|NT5C|NT5C2|NT5C1B|NT5M|NT5C3B|NT5C1B-RDH14|NT5C3A|SSU72P4|SSU72P2|SSU72P3|SSU72P7|SSU72P5|SSU72P8|INPP5F|ENPP1","128","1547|1535|1559|1529|1553|2003|1541|2009|4715|4739|4727|4733|4709|4721|1481|1241","2.52E-6","","GO:0016791","0.3721246399047171","0"
"48","7","WikiPathways","","Oxysterols derived from cholesterol","1.9E-4","AKR1D1|CYP7A1|DHCR7|HSD11B1|AKR1C4|CYP3A4|NR1H2","128","1076|1226|1169|352|1463|1082|412","7.16E-6","","WP4545","0.3721246399047171","0"
"31","6","WikiPathways","","Prostaglandin and leukotriene metabolism in senescence ","2.0E-4","PTGER2|ALOX12|LTC4S|ALOX15|PTGES|ALOX5","128","469|2291|3128|2300|2228|358","7.81E-6","","WP5122","0.36989700043360185","0"
